"SystemCodeNumber","Timestamp","Occupancy","Capacity","t","occupancy_rate","price","price_change_factor","pricing_model","time","diff"
"BHMNCPHST01","2016-10-04 07:59:00","237","1200","2016-10-04T07:59:00.000000000","0.1975","20.0","0.009875000000000002","Model1_Baseline","1751867899912","1"
"BHMNCPNST01","2016-10-04 07:59:00","249","485","2016-10-04T07:59:00.000000000","0.51340206185567","20.0","0.025670103092783503","Model1_Baseline","1751867899912","1"
"BHMBCCTHL01","2016-10-04 07:59:00","120","387","2016-10-04T07:59:00.000000000","0.31007751937984496","20.0","0.015503875968992248","Model1_Baseline","1751867899912","1"
"BHMEURBRD01","2016-10-04 07:59:00","117","470","2016-10-04T07:59:00.000000000","0.24893617021276596","20.0","0.0124468085106383","Model1_Baseline","1751867899912","1"
"BHMMBMMBX01","2016-10-04 07:59:00","264","687","2016-10-04T07:59:00.000000000","0.38427947598253276","20.0","0.01921397379912664","Model1_Baseline","1751867899912","1"
"BHMBCCMKT01","2016-10-04 07:59:00","61","577","2016-10-04T07:59:00.000000000","0.10571923743500866","20.0","0.005285961871750434","Model1_Baseline","1751867899912","1"
"Shopping","2016-10-04 07:59:00","614","1920","2016-10-04T07:59:00.000000000","0.31979166666666664","20.0","0.01598958333333333","Model1_Baseline","1751867899912","1"
"Others-CCCPS8","2016-10-04 07:59:00","445","1322","2016-10-04T07:59:00.000000000","0.33661119515885024","20.0","0.016830559757942513","Model1_Baseline","1751867899912","1"
"Others-CCCPS105a","2016-10-04 07:59:00","709","2009","2016-10-04T07:59:00.000000000","0.35291189646590343","20.0","0.017645594823295172","Model1_Baseline","1751867899912","1"
"Broad Street","2016-10-04 07:59:00","178","690","2016-10-04T07:59:00.000000000","0.2579710144927536","20.0","0.012898550724637681","Model1_Baseline","1751867899912","1"
"Others-CCCPS119a","2016-10-04 07:59:00","195","2803","2016-10-04T07:59:00.000000000","0.06956831965750981","20.0","0.003478415982875491","Model1_Baseline","1751867899912","1"
"Others-CCCPS135a","2016-10-04 07:59:00","1081","3883","2016-10-04T07:59:00.000000000","0.27839299510687615","20.0","0.013919649755343808","Model1_Baseline","1751867899926","1"
"BHMEURBRD01","2016-10-04 08:25:00","174","470","2016-10-04T08:25:00.000000000","0.3702127659574468","20.0","0.01851063829787234","Model1_Baseline","1751867901128","1"
"Shopping","2016-10-04 08:59:00","958","1920","2016-10-04T08:59:00.000000000","0.49895833333333334","20.0","0.024947916666666667","Model1_Baseline","1751867901128","1"
"Broad Street","2016-10-04 08:59:00","415","690","2016-10-04T08:59:00.000000000","0.6014492753623188","20.0","0.030072463768115943","Model1_Baseline","1751867901128","1"
"Others-CCCPS119a","2016-10-04 08:59:00","323","2803","2016-10-04T08:59:00.000000000","0.11523367820192651","20.0","0.005761683910096326","Model1_Baseline","1751867901128","1"
"Others-CCCPS8","2016-10-04 08:25:00","478","1322","2016-10-04T08:25:00.000000000","0.3615733736762481","20.0","0.018078668683812405","Model1_Baseline","1751867901128","1"
"Others-CCCPS98","2016-10-04 09:32:00","932","3103","2016-10-04T09:32:00.000000000","0.30035449564937156","20.0","0.01501772478246858","Model1_Baseline","1751867901128","1"
"Others-CCCPS8","2016-10-04 09:32:00","590","1322","2016-10-04T09:32:00.000000000","0.4462934947049924","20.0","0.02231467473524962","Model1_Baseline","1751867901128","1"
"BHMNCPNST01","2016-10-04 08:59:00","278","485","2016-10-04T08:59:00.000000000","0.5731958762886598","20.0","0.02865979381443299","Model1_Baseline","1751867901128","1"
"Broad Street","2016-10-04 08:25:00","269","690","2016-10-04T08:25:00.000000000","0.3898550724637681","20.0","0.019492753623188405","Model1_Baseline","1751867901128","1"
"Others-CCCPS135a","2016-10-04 08:25:00","1467","3883","2016-10-04T08:25:00.000000000","0.3778006695853721","20.0","0.018890033479268608","Model1_Baseline","1751867901128","1"
"Others-CCCPS105a","2016-10-04 09:32:00","1004","2009","2016-10-04T09:32:00.000000000","0.4997511199601792","20.0","0.024987555998008962","Model1_Baseline","1751867901128","1"
"Others-CCCPS202","2016-10-04 08:25:00","665","2937","2016-10-04T08:25:00.000000000","0.22642151855635","20.0","0.011321075927817502","Model1_Baseline","1751867901128","1"
"Others-CCCPS135a","2016-10-04 08:59:00","2007","3883","2016-10-04T08:59:00.000000000","0.516868400721092","20.0","0.0258434200360546","Model1_Baseline","1751867901128","1"
"BHMBCCMKT01","2016-10-04 08:59:00","80","577","2016-10-04T08:59:00.000000000","0.1386481802426343","20.0","0.006932409012131716","Model1_Baseline","1751867901128","1"
"BHMEURBRD01","2016-10-04 09:32:00","351","470","2016-10-04T09:32:00.000000000","0.7468085106382979","20.0","0.0373404255319149","Model1_Baseline","1751867901128","1"
"BHMEURBRD01","2016-10-04 08:59:00","269","470","2016-10-04T08:59:00.000000000","0.5723404255319149","20.0","0.028617021276595746","Model1_Baseline","1751867901128","1"
"Others-CCCPS119a","2016-10-04 09:32:00","420","2803","2016-10-04T09:32:00.000000000","0.14983945772386728","20.0","0.007491972886193365","Model1_Baseline","1751867901128","1"
"Shopping","2016-10-04 09:59:00","1254","1920","2016-10-04T09:59:00.000000000","0.653125","20.0","0.03265625","Model1_Baseline","1751867901128","1"
"Others-CCCPS105a","2016-10-04 08:25:00","780","2009","2016-10-04T08:25:00.000000000","0.38825286212045795","20.0","0.0194126431060229","Model1_Baseline","1751867901128","1"
"Broad Street","2016-10-04 09:32:00","530","690","2016-10-04T09:32:00.000000000","0.7681159420289855","20.0","0.03840579710144928","Model1_Baseline","1751867901128","1"
"Others-CCCPS98","2016-10-04 08:59:00","792","3103","2016-10-04T08:59:00.000000000","0.25523686754753466","20.0","0.012761843377376734","Model1_Baseline","1751867901128","1"
"Shopping","2016-10-04 08:25:00","761","1920","2016-10-04T08:25:00.000000000","0.3963541666666667","20.0","0.019817708333333336","Model1_Baseline","1751867901128","1"
"BHMEURBRD01","2016-10-04 09:59:00","397","470","2016-10-04T09:59:00.000000000","0.8446808510638298","20.0","0.04223404255319149","Model1_Baseline","1751867901128","1"
"BHMNCPHST01","2016-10-04 08:25:00","315","1200","2016-10-04T08:25:00.000000000","0.2625","20.0","0.013125000000000001","Model1_Baseline","1751867901128","1"
"Shopping","2016-10-04 09:32:00","1121","1920","2016-10-04T09:32:00.000000000","0.5838541666666667","20.0","0.029192708333333334","Model1_Baseline","1751867901128","1"
"BHMBCCMKT01","2016-10-04 09:32:00","107","577","2016-10-04T09:32:00.000000000","0.1854419410745234","20.0","0.00927209705372617","Model1_Baseline","1751867901128","1"
"BHMNCPNST01","2016-10-04 09:32:00","302","485","2016-10-04T09:32:00.000000000","0.622680412371134","20.0","0.031134020618556704","Model1_Baseline","1751867901128","1"
"BHMMBMMBX01","2016-10-04 08:25:00","302","687","2016-10-04T08:25:00.000000000","0.4395924308588064","20.0","0.021979621542940322","Model1_Baseline","1751867901128","1"
"BHMBCCTHL01","2016-10-04 09:32:00","204","387","2016-10-04T09:32:00.000000000","0.5271317829457365","20.0","0.026356589147286825","Model1_Baseline","1751867901128","1"
"Others-CCCPS105a","2016-10-04 08:59:00","864","2009","2016-10-04T08:59:00.000000000","0.4300647088103534","20.0","0.021503235440517673","Model1_Baseline","1751867901128","1"
"BHMNCPHST01","2016-10-04 09:59:00","638","1200","2016-10-04T09:59:00.000000000","0.5316666666666666","20.0","0.026583333333333334","Model1_Baseline","1751867901128","1"
"BHMBCCTHL01","2016-10-04 08:25:00","129","387","2016-10-04T08:25:00.000000000","0.3333333333333333","20.0","0.016666666666666666","Model1_Baseline","1751867901128","1"
"BHMMBMMBX01","2016-10-04 09:32:00","414","687","2016-10-04T09:32:00.000000000","0.6026200873362445","20.0","0.030131004366812226","Model1_Baseline","1751867901128","1"
"BHMBCCTHL01","2016-10-04 08:59:00","155","387","2016-10-04T08:59:00.000000000","0.4005167958656331","20.0","0.020025839793281656","Model1_Baseline","1751867901128","1"
"BHMMBMMBX01","2016-10-04 08:59:00","346","687","2016-10-04T08:59:00.000000000","0.5036390101892285","20.0","0.025181950509461426","Model1_Baseline","1751867901128","1"
"Others-CCCPS135a","2016-10-04 09:32:00","2502","3883","2016-10-04T09:32:00.000000000","0.6443471542621684","20.0","0.03221735771310842","Model1_Baseline","1751867901128","1"
"BHMBCCTHL01","2016-10-04 09:59:00","236","387","2016-10-04T09:59:00.000000000","0.6098191214470284","20.0","0.030490956072351423","Model1_Baseline","1751867901128","1"
"Others-CCCPS98","2016-10-04 07:59:00","588","3103","2016-10-04T07:59:00.000000000","0.1894940380277151","20.0","0.009474701901385756","Model1_Baseline","1751867901128","1"
"Others-CCCPS119a","2016-10-04 08:25:00","238","2803","2016-10-04T08:25:00.000000000","0.0849090260435248","20.0","0.00424545130217624","Model1_Baseline","1751867901128","1"
"Others-CCCPS202","2016-10-04 08:59:00","848","2937","2016-10-04T08:59:00.000000000","0.28872999659516513","20.0","0.014436499829758257","Model1_Baseline","1751867901128","1"
"Others-CCCPS98","2016-10-04 09:59:00","1052","3103","2016-10-04T09:59:00.000000000","0.33902674830808893","20.0","0.016951337415404447","Model1_Baseline","1751867901128","1"
"BHMNCPHST01","2016-10-04 09:32:00","552","1200","2016-10-04T09:32:00.000000000","0.46","20.0","0.023000000000000003","Model1_Baseline","1751867901128","1"
"Others-CCCPS119a","2016-10-04 09:59:00","476","2803","2016-10-04T09:59:00.000000000","0.1698180520870496","20.0","0.00849090260435248","Model1_Baseline","1751867901128","1"
"Others-CCCPS105a","2016-10-04 09:59:00","1142","2009","2016-10-04T09:59:00.000000000","0.5684420109507218","20.0","0.02842210054753609","Model1_Baseline","1751867901128","1"
"BHMNCPHST01","2016-10-04 08:59:00","441","1200","2016-10-04T08:59:00.000000000","0.3675","20.0","0.018375","Model1_Baseline","1751867901128","1"
"Others-CCCPS98","2016-10-04 08:25:00","678","3103","2016-10-04T08:25:00.000000000","0.21849822752175313","20.0","0.010924911376087657","Model1_Baseline","1751867901128","1"
"Others-CCCPS8","2016-10-04 08:59:00","518","1322","2016-10-04T08:59:00.000000000","0.3918305597579425","20.0","0.019591527987897126","Model1_Baseline","1751867901128","1"
"Others-CCCPS202","2016-10-04 09:32:00","1036","2937","2016-10-04T09:32:00.000000000","0.35274089206673476","20.0","0.01763704460333674","Model1_Baseline","1751867901128","1"
"Others-CCCPS8","2016-10-04 09:59:00","657","1322","2016-10-04T09:59:00.000000000","0.4969742813918306","20.0","0.02484871406959153","Model1_Baseline","1751867901128","1"
"BHMNCPNST01","2016-10-04 08:25:00","267","485","2016-10-04T08:25:00.000000000","0.5505154639175258","20.0","0.02752577319587629","Model1_Baseline","1751867901128","1"
"BHMBCCMKT01","2016-10-04 08:25:00","64","577","2016-10-04T08:25:00.000000000","0.11091854419410745","20.0","0.005545927209705373","Model1_Baseline","1751867901128","1"
"Others-CCCPS202","2016-10-04 07:59:00","547","2937","2016-10-04T07:59:00.000000000","0.18624446714334356","20.0","0.009312223357167177","Model1_Baseline","1751867901128","1"
"Others-CCCPS202","2016-10-04 09:59:00","1163","2937","2016-10-04T09:59:00.000000000","0.39598229485869935","20.0","0.01979911474293497","Model1_Baseline","1751867901150","1"
"Broad Street","2016-10-04 09:59:00","600","690","2016-10-04T09:59:00.000000000","0.8695652173913043","20.0","0.043478260869565216","Model1_Baseline","1751867901154","1"
"BHMNCPNST01","2016-10-04 09:59:00","327","485","2016-10-04T09:59:00.000000000","0.6742268041237114","20.0","0.03371134020618557","Model1_Baseline","1751867901174","1"
"BHMBCCMKT01","2016-10-04 09:59:00","150","577","2016-10-04T09:59:00.000000000","0.25996533795493937","20.0","0.012998266897746968","Model1_Baseline","1751867901174","1"
"BHMBCCMKT01","2016-10-04 10:59:00","219","577","2016-10-04T10:59:00.000000000","0.37954939341421146","20.0","0.018977469670710574","Model1_Baseline","1751867901866","1"
"BHMNCPHST01","2016-10-04 10:59:00","729","1200","2016-10-04T10:59:00.000000000","0.6075","20.0","0.030375000000000003","Model1_Baseline","1751867901866","1"
"Others-CCCPS105a","2016-10-04 11:59:00","1470","2009","2016-10-04T11:59:00.000000000","0.7317073170731707","20.0","0.036585365853658534","Model1_Baseline","1751867901866","1"
"BHMEURBRD01","2016-10-04 10:26:00","430","470","2016-10-04T10:26:00.000000000","0.9148936170212766","20.0","0.04574468085106383","Model1_Baseline","1751867901866","1"
"Others-CCCPS202","2016-10-04 10:26:00","1257","2937","2016-10-04T10:26:00.000000000","0.4279877425944842","20.0","0.02139938712972421","Model1_Baseline","1751867901866","1"
"Others-CCCPS135a","2016-10-04 10:59:00","3169","3883","2016-10-04T10:59:00.000000000","0.816121555498326","20.0","0.0408060777749163","Model1_Baseline","1751867901866","1"
"Others-CCCPS119a","2016-10-04 10:59:00","574","2803","2016-10-04T10:59:00.000000000","0.20478059222261863","20.0","0.010239029611130933","Model1_Baseline","1751867901866","1"
"BHMNCPNST01","2016-10-04 11:25:00","373","485","2016-10-04T11:25:00.000000000","0.7690721649484537","20.0","0.03845360824742269","Model1_Baseline","1751867901866","1"
"Others-CCCPS119a","2016-10-04 10:26:00","525","2803","2016-10-04T10:26:00.000000000","0.1872993221548341","20.0","0.009364966107741705","Model1_Baseline","1751867901866","1"
"Others-CCCPS8","2016-10-04 11:25:00","820","1322","2016-10-04T11:25:00.000000000","0.6202723146747352","20.0","0.03101361573373676","Model1_Baseline","1751867901866","1"
"BHMEURBRD01","2016-10-04 10:59:00","458","470","2016-10-04T10:59:00.000000000","0.9744680851063829","20.0","0.04872340425531915","Model1_Baseline","1751867901866","1"
"Others-CCCPS105a","2016-10-04 10:26:00","1245","2009","2016-10-04T10:26:00.000000000","0.6197112991538078","20.0","0.030985564957690392","Model1_Baseline","1751867901866","1"
"Others-CCCPS98","2016-10-04 11:59:00","1288","3103","2016-10-04T11:59:00.000000000","0.41508217853689977","20.0","0.02075410892684499","Model1_Baseline","1751867901866","1"
"Broad Street","2016-10-04 11:25:00","672","690","2016-10-04T11:25:00.000000000","0.9739130434782609","20.0","0.04869565217391305","Model1_Baseline","1751867901866","1"
"Others-CCCPS202","2016-10-04 10:59:00","1354","2937","2016-10-04T10:59:00.000000000","0.4610146407899217","20.0","0.023050732039496088","Model1_Baseline","1751867901866","1"
"BHMMBMMBX01","2016-10-04 10:59:00","573","687","2016-10-04T10:59:00.000000000","0.834061135371179","20.0","0.041703056768558955","Model1_Baseline","1751867901866","1"
"BHMNCPHST01","2016-10-04 11:25:00","765","1200","2016-10-04T11:25:00.000000000","0.6375","20.0","0.031875","Model1_Baseline","1751867901866","1"
"Others-CCCPS105a","2016-10-04 11:25:00","1424","2009","2016-10-04T11:25:00.000000000","0.7088103534096566","20.0","0.035440517670482834","Model1_Baseline","1751867901866","1"
"Others-CCCPS135a","2016-10-04 09:59:00","2802","3883","2016-10-04T09:59:00.000000000","0.7216070048931239","20.0","0.036080350244656195","Model1_Baseline","1751867901866","1"
"BHMBCCMKT01","2016-10-04 11:25:00","247","577","2016-10-04T11:25:00.000000000","0.42807625649913345","20.0","0.021403812824956674","Model1_Baseline","1751867901866","1"
"BHMBCCMKT01","2016-10-04 11:59:00","259","577","2016-10-04T11:59:00.000000000","0.4488734835355286","20.0","0.02244367417677643","Model1_Baseline","1751867901866","1"
"Shopping","2016-10-04 10:59:00","1387","1920","2016-10-04T10:59:00.000000000","0.7223958333333333","20.0","0.03611979166666667","Model1_Baseline","1751867901866","1"
"BHMEURBRD01","2016-10-04 11:25:00","464","470","2016-10-04T11:25:00.000000000","0.9872340425531915","20.0","0.04936170212765958","Model1_Baseline","1751867901866","1"
"Others-CCCPS98","2016-10-04 10:59:00","1210","3103","2016-10-04T10:59:00.000000000","0.38994521430873347","20.0","0.019497260715436674","Model1_Baseline","1751867901866","1"
"BHMBCCTHL01","2016-10-04 10:59:00","308","387","2016-10-04T10:59:00.000000000","0.7958656330749354","20.0","0.03979328165374677","Model1_Baseline","1751867901866","1"
"BHMNCPHST01","2016-10-04 10:26:00","686","1200","2016-10-04T10:26:00.000000000","0.5716666666666667","20.0","0.028583333333333336","Model1_Baseline","1751867901866","1"
"BHMBCCTHL01","2016-10-04 11:25:00","324","387","2016-10-04T11:25:00.000000000","0.8372093023255814","20.0","0.041860465116279076","Model1_Baseline","1751867901866","1"
"BHMBCCTHL01","2016-10-04 11:59:00","332","387","2016-10-04T11:59:00.000000000","0.8578811369509044","20.0","0.04289405684754522","Model1_Baseline","1751867901866","1"
"Others-CCCPS8","2016-10-04 11:59:00","836","1322","2016-10-04T11:59:00.000000000","0.632375189107413","20.0","0.03161875945537065","Model1_Baseline","1751867901866","1"
"BHMNCPNST01","2016-10-04 10:26:00","351","485","2016-10-04T10:26:00.000000000","0.7237113402061855","20.0","0.036185567010309276","Model1_Baseline","1751867901866","1"
"BHMNCPNST01","2016-10-04 10:59:00","371","485","2016-10-04T10:59:00.000000000","0.7649484536082474","20.0","0.03824742268041237","Model1_Baseline","1751867901866","1"
"BHMMBMMBX01","2016-10-04 10:26:00","530","687","2016-10-04T10:26:00.000000000","0.7714701601164483","20.0","0.03857350800582242","Model1_Baseline","1751867901866","1"
"Others-CCCPS8","2016-10-04 10:59:00","791","1322","2016-10-04T10:59:00.000000000","0.5983358547655068","20.0","0.02991679273827534","Model1_Baseline","1751867901866","1"
"BHMMBMMBX01","2016-10-04 11:25:00","604","687","2016-10-04T11:25:00.000000000","0.8791848617176128","20.0","0.043959243085880645","Model1_Baseline","1751867901866","1"
"Others-CCCPS119a","2016-10-04 11:59:00","605","2803","2016-10-04T11:59:00.000000000","0.21584017124509455","20.0","0.010792008562254728","Model1_Baseline","1751867901866","1"
"BHMBCCTHL01","2016-10-04 10:26:00","264","387","2016-10-04T10:26:00.000000000","0.6821705426356589","20.0","0.034108527131782945","Model1_Baseline","1751867901866","1"
"Others-CCCPS119a","2016-10-04 11:25:00","588","2803","2016-10-04T11:25:00.000000000","0.2097752408134142","20.0","0.01048876204067071","Model1_Baseline","1751867901866","1"
"Others-CCCPS135a","2016-10-04 11:25:00","3221","3883","2016-10-04T11:25:00.000000000","0.829513262941025","20.0","0.041475663147051256","Model1_Baseline","1751867901866","1"
"BHMBCCMKT01","2016-10-04 10:26:00","177","577","2016-10-04T10:26:00.000000000","0.30675909878682844","20.0","0.015337954939341423","Model1_Baseline","1751867901866","1"
"Others-CCCPS135a","2016-10-04 11:59:00","3248","3883","2016-10-04T11:59:00.000000000","0.836466649497811","20.0","0.041823332474890555","Model1_Baseline","1751867901866","1"
"Others-CCCPS105a","2016-10-04 10:59:00","1364","2009","2016-10-04T10:59:00.000000000","0.6789447486311598","20.0","0.033947237431557996","Model1_Baseline","1751867901866","1"
"Shopping","2016-10-04 10:26:00","1324","1920","2016-10-04T10:26:00.000000000","0.6895833333333333","20.0","0.034479166666666665","Model1_Baseline","1751867901866","1"
"Others-CCCPS202","2016-10-04 11:25:00","1369","2937","2016-10-04T11:25:00.000000000","0.46612189308818525","20.0","0.023306094654409262","Model1_Baseline","1751867901866","1"
"BHMMBMMBX01","2016-10-04 09:59:00","485","687","2016-10-04T09:59:00.000000000","0.7059679767103348","20.0","0.03529839883551674","Model1_Baseline","1751867901866","1"
"Others-CCCPS202","2016-10-04 11:59:00","1390","2937","2016-10-04T11:59:00.000000000","0.47327204630575415","20.0","0.023663602315287708","Model1_Baseline","1751867901866","1"
"Others-CCCPS98","2016-10-04 10:26:00","1142","3103","2016-10-04T10:26:00.000000000","0.368030937802127","20.0","0.01840154689010635","Model1_Baseline","1751867901866","1"
"Shopping","2016-10-04 11:25:00","1428","1920","2016-10-04T11:25:00.000000000","0.74375","20.0","0.037187500000000005","Model1_Baseline","1751867901866","1"
"Broad Street","2016-10-04 10:59:00","675","690","2016-10-04T10:59:00.000000000","0.9782608695652174","20.0","0.04891304347826087","Model1_Baseline","1751867901866","1"
"Others-CCCPS98","2016-10-04 11:25:00","1241","3103","2016-10-04T11:25:00.000000000","0.3999355462455688","20.0","0.019996777312278443","Model1_Baseline","1751867901866","1"
"Others-CCCPS8","2016-10-04 10:26:00","715","1322","2016-10-04T10:26:00.000000000","0.5408472012102874","20.0","0.027042360060514373","Model1_Baseline","1751867901866","1"
"Broad Street","2016-10-04 10:26:00","642","690","2016-10-04T10:26:00.000000000","0.9304347826086956","20.0","0.04652173913043478","Model1_Baseline","1751867901866","1"
"Others-CCCPS135a","2016-10-04 10:26:00","3035","3883","2016-10-04T10:26:00.000000000","0.7816121555498327","20.0","0.03908060777749164","Model1_Baseline","1751867901866","1"
"BHMNCPNST01","2016-10-04 12:29:00","379","485","2016-10-04T12:29:00.000000000","0.7814432989690722","20.0","0.039072164948453614","Model1_Baseline","1751867902588","1"
"BHMNCPNST01","2016-10-04 13:29:00","375","485","2016-10-04T13:29:00.000000000","0.7731958762886598","20.0","0.03865979381443299","Model1_Baseline","1751867902588","1"
"Broad Street","2016-10-04 13:29:00","648","690","2016-10-04T13:29:00.000000000","0.9391304347826087","20.0","0.04695652173913044","Model1_Baseline","1751867902588","1"
"BHMEURBRD01","2016-10-04 13:29:00","450","470","2016-10-04T13:29:00.000000000","0.9574468085106383","20.0","0.04787234042553192","Model1_Baseline","1751867902588","1"
"Others-CCCPS8","2016-10-04 13:02:00","810","1322","2016-10-04T13:02:00.000000000","0.6127080181543116","20.0","0.030635400907715583","Model1_Baseline","1751867902588","1"
"Others-CCCPS119a","2016-10-04 14:02:00","576","2803","2016-10-04T14:02:00.000000000","0.20549411344987514","20.0","0.010274705672493757","Model1_Baseline","1751867902588","1"
"BHMBCCMKT01","2016-10-04 13:29:00","263","577","2016-10-04T13:29:00.000000000","0.4558058925476603","20.0","0.022790294627383016","Model1_Baseline","1751867902588","1"
"Others-CCCPS202","2016-10-04 13:02:00","1367","2937","2016-10-04T13:02:00.000000000","0.4654409261150834","20.0","0.023272046305754173","Model1_Baseline","1751867902588","1"
"BHMNCPNST01","2016-10-04 12:56:00","374","485","2016-10-04T12:56:00.000000000","0.7711340206185567","20.0","0.03855670103092784","Model1_Baseline","1751867902588","1"
"BHMEURBRD01","2016-10-04 13:02:00","458","470","2016-10-04T13:02:00.000000000","0.9744680851063829","20.0","0.04872340425531915","Model1_Baseline","1751867902588","1"
"Others-CCCPS105a","2016-10-04 13:29:00","1459","2009","2016-10-04T13:29:00.000000000","0.726231956197113","20.0","0.03631159780985565","Model1_Baseline","1751867902588","1"
"BHMBCCTHL01","2016-10-04 13:02:00","333","387","2016-10-04T13:02:00.000000000","0.8604651162790697","20.0","0.04302325581395349","Model1_Baseline","1751867902588","1"
"BHMMBMMBX01","2016-10-04 13:02:00","651","687","2016-10-04T13:02:00.000000000","0.9475982532751092","20.0","0.047379912663755464","Model1_Baseline","1751867902588","1"
"BHMNCPNST01","2016-10-04 11:59:00","381","485","2016-10-04T11:59:00.000000000","0.7855670103092783","20.0","0.03927835051546392","Model1_Baseline","1751867902588","1"
"Others-CCCPS98","2016-10-04 13:29:00","1273","3103","2016-10-04T13:29:00.000000000","0.4102481469545601","20.0","0.020512407347728006","Model1_Baseline","1751867902588","1"
"Shopping","2016-10-04 12:29:00","1460","1920","2016-10-04T12:29:00.000000000","0.7604166666666666","20.0","0.03802083333333334","Model1_Baseline","1751867902588","1"
"Others-CCCPS119a","2016-10-04 13:02:00","596","2803","2016-10-04T13:02:00.000000000","0.21262932572244025","20.0","0.010631466286122014","Model1_Baseline","1751867902588","1"
"BHMBCCTHL01","2016-10-04 12:29:00","334","387","2016-10-04T12:29:00.000000000","0.8630490956072352","20.0","0.04315245478036176","Model1_Baseline","1751867902588","1"
"BHMMBMMBX01","2016-10-04 11:59:00","634","687","2016-10-04T11:59:00.000000000","0.9228529839883551","20.0","0.04614264919941776","Model1_Baseline","1751867902588","1"
"Others-CCCPS8","2016-10-04 13:29:00","811","1322","2016-10-04T13:29:00.000000000","0.613464447806354","20.0","0.030673222390317702","Model1_Baseline","1751867902588","1"
"BHMNCPHST01","2016-10-04 13:29:00","758","1200","2016-10-04T13:29:00.000000000","0.6316666666666667","20.0","0.03158333333333334","Model1_Baseline","1751867902588","1"
"Broad Street","2016-10-04 11:59:00","677","690","2016-10-04T11:59:00.000000000","0.981159420289855","20.0","0.04905797101449275","Model1_Baseline","1751867902588","1"
"Others-CCCPS98","2016-10-04 12:29:00","1297","3103","2016-10-04T12:29:00.000000000","0.41798259748630356","20.0","0.020899129874315178","Model1_Baseline","1751867902588","1"
"Others-CCCPS105a","2016-10-04 13:02:00","1461","2009","2016-10-04T13:02:00.000000000","0.7272274763563962","20.0","0.03636137381781981","Model1_Baseline","1751867902588","1"
"BHMEURBRD01","2016-10-04 11:59:00","460","470","2016-10-04T11:59:00.000000000","0.9787234042553191","20.0","0.04893617021276596","Model1_Baseline","1751867902588","1"
"BHMNCPHST01","2016-10-04 11:59:00","771","1200","2016-10-04T11:59:00.000000000","0.6425","20.0","0.032125","Model1_Baseline","1751867902588","1"
"BHMMBMMBX01","2016-10-04 12:29:00","648","687","2016-10-04T12:29:00.000000000","0.9432314410480349","20.0","0.04716157205240175","Model1_Baseline","1751867902588","1"
"Broad Street","2016-10-04 12:29:00","683","690","2016-10-04T12:29:00.000000000","0.9898550724637681","20.0","0.04949275362318841","Model1_Baseline","1751867902588","1"
"BHMEURBRD01","2016-10-04 12:29:00","464","470","2016-10-04T12:29:00.000000000","0.9872340425531915","20.0","0.04936170212765958","Model1_Baseline","1751867902588","1"
"BHMBCCTHL01","2016-10-04 13:29:00","331","387","2016-10-04T13:29:00.000000000","0.8552971576227391","20.0","0.04276485788113696","Model1_Baseline","1751867902588","1"
